window_size	hysteresis	covariance1_t	covariance1_R	covariance2_t	covariance2_R	outlier_threshold	translation_validity_threshold	Rotation_validity_threshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0	0.4042678731	0.6286741974	0.3887090608	0.6044787951	0.5323053396	0.8277843837	0.4417607578	0.6869791254
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.2483458647	0.7384501705	0.2462979483	0.7323607427	0.3192430228	0.9492610837	0.2712956119	0.8066906657
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.2483458647	0.7384501705	0.2462979483	0.7323607427	0.3192430228	0.9492610837	0.2712956119	0.8066906657
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.2483458647	0.7367750473	0.2465400790	0.7314177694	0.3194978973	0.9478638941	0.2714612803	0.8053522369
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.3091907735	0.7094210526	0.3079011087	0.7064619883	0.4079775710	0.9360818713	0.3416898178	0.7839883041
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.3089575634	0.7113820423	0.3073148974	0.7075997653	0.4073403849	0.9379107981	0.3412042819	0.7856308685
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.3089575634	0.7113820423	0.3073148974	0.7075997653	0.4073403849	0.9379107981	0.3412042819	0.7856308685
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.3614668026	0.6957149865	0.3577545559	0.6885700270	0.4768956289	0.9178807947	0.3987056625	0.7673886027
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.3610641009	0.6987102343	0.3569007264	0.6906535142	0.4759908245	0.9211097411	0.3979852173	0.7701578298
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.3610641009	0.6987102343	0.3569007264	0.6906535142	0.4759908245	0.9211097411	0.3979852173	0.7701578298
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.4007149229	0.6650613367	0.3972473557	0.6593062606	0.5323435708	0.8835236887	0.4434352831	0.7359637620
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.4007149229	0.6650613367	0.3972473557	0.6593062606	0.5323435708	0.8835236887	0.4434352831	0.7359637620
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.4093041927	0.6537370242	0.4071492290	0.6502951354	0.5450618071	0.8705678811	0.4538384096	0.7248666802
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.4223384733	0.6451411330	0.4150503377	0.6340081760	0.5594622149	0.8546038544	0.4656170086	0.7112510544
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.4290671594	0.6350226330	0.4230788836	0.6261599396	0.5700649930	0.8437004904	0.4740703454	0.7016276877
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.4223384733	0.6451411330	0.4150503377	0.6340081760	0.5594622149	0.8546038544	0.4656170086	0.7112510544
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.4276067287	0.6193115541	0.4216898178	0.6107419712	0.5696954250	0.8251015135	0.4729973238	0.6850516796
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.4277086785	0.6185458902	0.4217917676	0.6099889421	0.5698228622	0.8240692960	0.4731077694	0.6842013761
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.4433515993	0.5950025654	0.4393398751	0.5896186078	0.5915509112	0.7938943048	0.4914141285	0.6595051593
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0040000000	0.3958570154	0.6154725580	0.3809099019	0.5922330097	0.5330317319	0.8287497523	0.4365995497	0.6788184400
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0160000000	0.3989473684	0.6109562842	0.3848859437	0.5894223263	0.5374028291	0.8229898517	0.4404120471	0.6744561540
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0080000000	0.3959640627	0.6130880032	0.3816108067	0.5908642463	0.5337963553	0.8264996054	0.4371237416	0.6768172849
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0040000000	0.3958570154	0.6154725580	0.3809099019	0.5922330097	0.5330317319	0.8287497523	0.4365995497	0.6788184400
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0160000000	0.3989473684	0.6109562842	0.3848859437	0.5894223263	0.5374028291	0.8229898517	0.4404120471	0.6744561540
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0080000000	0.3959640627	0.6130880032	0.3816108067	0.5908642463	0.5337963553	0.8264996054	0.4371237416	0.6768172849
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0080000000	0.3959640627	0.6130880032	0.3816108067	0.5908642463	0.5337963553	0.8264996054	0.4371237416	0.6768172849
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0040000000	0.3958570154	0.6154725580	0.3809099019	0.5922330097	0.5330317319	0.8287497523	0.4365995497	0.6788184400
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0160000000	0.3989473684	0.6109562842	0.3848859437	0.5894223263	0.5374028291	0.8229898517	0.4404120471	0.6744561540
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0040000000	0.4204919077	0.5903739488	0.4088951192	0.5740919664	0.5654007901	0.7938271605	0.4649292723	0.6527643586
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0040000000	0.4204919077	0.5903739488	0.4088951192	0.5740919664	0.5654007901	0.7938271605	0.4649292723	0.6527643586
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0040000000	0.4204919077	0.5903739488	0.4088951192	0.5740919664	0.5654007901	0.7938271605	0.4649292723	0.6527643586
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0080000000	0.4403657449	0.5648169336	0.4285331974	0.5496404054	0.5887472920	0.7551323962	0.4858820781	0.6231965784
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0080000000	0.4403657449	0.5648169336	0.4285331974	0.5496404054	0.5887472920	0.7551323962	0.4858820781	0.6231965784
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0080000000	0.4403657449	0.5648169336	0.4285331974	0.5496404054	0.5887472920	0.7551323962	0.4858820781	0.6231965784
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0160000000	0.4543124761	0.5386808704	0.4431629922	0.5254608643	0.6078628775	0.7207464491	0.5017794486	0.5949627279
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0160000000	0.4543124761	0.5386808704	0.4431629922	0.5254608643	0.6078628775	0.7207464491	0.5017794486	0.5949627279
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0040000000	0.4659296546	0.5447184148	0.4582388174	0.5357270560	0.6199694151	0.7248063170	0.5147126290	0.6017505959
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0040000000	0.4620708551	0.5517148509	0.4529884032	0.5408703591	0.6128201861	0.7317102861	0.5092931481	0.6080984987
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0040000000	0.4632381802	0.5322931615	0.4558684848	0.5238248645	0.6177392634	0.7098257432	0.5122819761	0.5886479231
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0040000000	0.4659296546	0.5440699405	0.4583535109	0.5352232143	0.6200968523	0.7240922619	0.5147933393	0.6011284722
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0080000000	0.4655001912	0.5224974968	0.4577800433	0.5138320698	0.6210908628	0.6971391789	0.5147903657	0.5778229152
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0080000000	0.4671836371	0.5357284817	0.4577545559	0.5249159725	0.6197782592	0.7107116762	0.5149054840	0.5904520435
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0160000000	0.4543124761	0.5393328290	0.4429208615	0.5258093797	0.6076080031	0.7213161876	0.5016137802	0.5954861321
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0160000000	0.4683178285	0.5277739480	0.4586975914	0.5169323567	0.6214986619	0.7004021255	0.5161713606	0.5817028101
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0080000000	0.4744411877	0.5218587048	0.4663693131	0.5129800953	0.6310437110	0.6941126997	0.5239514039	0.5763171666
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0040000000	0.4711558557	0.5159307843	0.4657066395	0.5099637176	0.6306104244	0.6905386548	0.5224909732	0.5721443855
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0160000000	0.4663119664	0.5163914762	0.4583152797	0.5075359865	0.6222632853	0.6890911657	0.5156301771	0.5710062094
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0160000000	0.4793449726	0.5018572382	0.4722059386	0.4943829219	0.6402701669	0.6703402268	0.5306070260	0.5555267956
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0040000000	0.4743468842	0.5078035471	0.4697463999	0.5028785812	0.6371479546	0.6820873124	0.5270804129	0.5642564802
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0160000000	0.4763973493	0.5111841925	0.4681789219	0.5023656502	0.6343061042	0.6806235471	0.5262941251	0.5647244633
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0080000000	0.4758506436	0.5165306405	0.4685230024	0.5085765666	0.6340512298	0.6882556370	0.5261416252	0.5711209480
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0160000000	0.4747075315	0.4974666132	0.4683955652	0.4908520299	0.6356569390	0.6661324786	0.5262533452	0.5514837073
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0080000000	0.4739620237	0.5047747014	0.4678603288	0.4982763301	0.6345227475	0.6757736156	0.5254483667	0.5596082157
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0080000000	0.4774754683	0.4944899037	0.4723588633	0.4891909727	0.6416847203	0.6645506137	0.5305063506	0.5494104967
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0160000000	0.4784108577	0.4865331778	0.4730852555	0.4811171591	0.6430100675	0.6539269051	0.5315020602	0.5405257474
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0010000000	0.3614668026	0.6953738661	0.3578819931	0.6884775680	0.4770103224	0.9176513851	0.3987863727	0.7671676064
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0010000000	0.3614668026	0.6957149865	0.3577545559	0.6885700270	0.4768956289	0.9178807947	0.3987056625	0.7673886027
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0025000000	0.3972409838	0.6253059178	0.3859436727	0.6075225677	0.5337198930	0.8401404213	0.4389681832	0.6909896356
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0025000000	0.3972409838	0.6253059178	0.3859436727	0.6075225677	0.5337198930	0.8401404213	0.4389681832	0.6909896356
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0030000000	0.4156390977	0.5958202411	0.4035045240	0.5784252832	0.5586466165	0.8008220680	0.4592634128	0.6583558641
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0030000000	0.4156390977	0.5958202411	0.4035045240	0.5784252832	0.5586466165	0.8008220680	0.4592634128	0.6583558641
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0035000000	0.4178679750	0.5933785740	0.4059640627	0.5764748462	0.5621256531	0.7982265653	0.4619858969	0.6560266618
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0035000000	0.4178679750	0.5933785740	0.4059640627	0.5764748462	0.5621256531	0.7982265653	0.4619858969	0.6560266618
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0025000000	0.4488849242	0.5816380449	0.4415827705	0.5721763540	0.5963807825	0.7727542933	0.4956161590	0.6421895641
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0025000000	0.4495679878	0.5797469187	0.4427806805	0.5709942482	0.5977698483	0.7708627773	0.4967061722	0.6405346480
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0030000000	0.4566050720	0.5606290095	0.4478144514	0.5498357065	0.6063973493	0.7445470192	0.5036056242	0.6183372451
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0035000000	0.4601835096	0.5553768071	0.4512807442	0.5446324208	0.6107302154	0.7370655183	0.5073981564	0.6123582487
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0030000000	0.4578514082	0.5580552967	0.4496877788	0.5481050016	0.6087039633	0.7419229574	0.5054143834	0.6160277519
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0035000000	0.4625691347	0.5508012140	0.4546960622	0.5414264036	0.6155473429	0.7329590288	0.5109375133	0.6083955488
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0015000000	0.4033936536	0.6630561374	0.3986109341	0.6551948052	0.5354530394	0.8801214914	0.4458192090	0.7327908113
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0012500000	0.3888849242	0.6820697363	0.3838791895	0.6732901207	0.5151650312	0.9035538668	0.4293097150	0.7529712412
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0017500000	0.4164113674	0.6501352965	0.4117114821	0.6427974532	0.5545431375	0.8657978512	0.4608886623	0.7195768670