mod	max_derivative_order	max_track_age	cov_drift_lin_vel	cov_drift_ang_vel	outlier_rejection_treshold_trans	outlier_rejection_treshold_rot	t_validity_treshold	R_validity_treshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0	0.597697558	0.7292042931	0.4859244653	0.592838638	0.4944334901	0.6032198372	0.5260185045	0.6417542561
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.6540	0.9180	0.6123	0.8594	0.6033	0.8468	0.6232	0.8747
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.3199	0.9666	0.2857	0.8633	0.2825	0.8536	0.2960	0.8945
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0001	0.8320	0.8041	0.7753	0.7493	0.7665	0.7407	0.7913	0.7647
3.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.6836	0.9126	0.6373	0.8507	0.6281	0.8384	0.6497	0.8672
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.6836	0.9126	0.6373	0.8507	0.6281	0.8384	0.6497	0.8672
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.7118	0.9055	0.6616	0.8416	0.6520	0.8294	0.6751	0.8588
2.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0002	0.8435	0.7622	0.7862	0.7104	0.7773	0.7024	0.8023	0.7250
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0002	0.8435	0.7622	0.7862	0.7104	0.7773	0.7024	0.8023	0.7250
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.7311	0.9052	0.6800	0.8419	0.6696	0.8290	0.6935	0.8587
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.7406	0.9017	0.6886	0.8384	0.6782	0.8257	0.7024	0.8552
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.4623	0.9524	0.4206	0.8666	0.4139	0.8527	0.4322	0.8906
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0003	0.8651	0.6832	0.8075	0.6377	0.7981	0.6302	0.8236	0.6504
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.7867	0.8884	0.7345	0.8295	0.7252	0.8190	0.7488	0.8456
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.5747	0.9466	0.5325	0.8770	0.5240	0.8630	0.5437	0.8955
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0006	0.8797	0.6253	0.8194	0.5824	0.8109	0.5763	0.8367	0.5947
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0000	0.6206	0.9366	0.5780	0.8723	0.5693	0.8591	0.5893	0.8893
1.0000	0.0000	1.0000	0.0000	0.0000	0.1000	0.1745	0.0000	0.0001	0.8163	0.8405	0.7611	0.7836	0.7518	0.7741	0.7764	0.7994